# PyFAI 1D azimuthal integration
# Input file: E:/Sample2/CK2-0.3s-insuit-006-300-to-700/CK2-0.3s-insuit-006-300-to-700_saxs/series_1410_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Thu Apr 23 16:31:26 2026
# Radial	Intensity	Sigma
1.344223e+00	2.426109e+01	5.984261e-02
1.348694e+00	2.385397e+01	5.943279e-02
1.353165e+00	2.367765e+01	5.931551e-02
1.357637e+00	2.318020e+01	5.876549e-02
1.362108e+00	2.309324e+01	5.883106e-02
1.366579e+00	2.277468e+01	5.851126e-02
1.371050e+00	2.256990e+01	5.835725e-02
1.375522e+00	2.226582e+01	5.801093e-02
1.379993e+00	2.203493e+01	5.783113e-02
1.384464e+00	2.177030e+01	5.759897e-02
1.388935e+00	2.145976e+01	5.725369e-02
1.393407e+00	2.128105e+01	5.709849e-02
1.397878e+00	2.103824e+01	5.679198e-02
1.402349e+00	2.079165e+01	5.652693e-02
1.406820e+00	2.055369e+01	5.627573e-02
1.411292e+00	2.039982e+01	5.616289e-02
1.415763e+00	2.017280e+01	5.592099e-02
1.420234e+00	1.984235e+01	5.544945e-02
1.424705e+00	1.972463e+01	5.532365e-02
1.429177e+00	1.946126e+01	5.494312e-02
1.433648e+00	1.932727e+01	5.477986e-02
1.438119e+00	1.902101e+01	5.435053e-02
1.442591e+00	1.884814e+01	5.416972e-02
1.447062e+00	1.874845e+01	5.410443e-02
1.451533e+00	1.847105e+01	5.369833e-02
1.456004e+00	1.830484e+01	5.349779e-02
1.460476e+00	1.809247e+01	5.327157e-02
1.464947e+00	1.785299e+01	5.297364e-02
1.469418e+00	1.768122e+01	5.279033e-02
1.473889e+00	1.750586e+01	5.260295e-02
1.478361e+00	1.731532e+01	5.240601e-02
1.482832e+00	1.723012e+01	5.240636e-02
1.487303e+00	1.697048e+01	5.207652e-02
1.491774e+00	1.670443e+01	5.164549e-02
1.496246e+00	1.656341e+01	5.143643e-02
1.500717e+00	1.651122e+01	5.144902e-02
1.505188e+00	1.631080e+01	5.122881e-02
1.509659e+00	1.606977e+01	5.083604e-02
1.514131e+00	1.596111e+01	5.065009e-02
1.518602e+00	1.576649e+01	5.037927e-02
1.523073e+00	1.571332e+01	5.039013e-02
1.527544e+00	1.550872e+01	5.010606e-02
1.532016e+00	1.520291e+01	4.957761e-02
1.536487e+00	1.508016e+01	4.935586e-02
1.540958e+00	1.500438e+01	4.930033e-02
1.545429e+00	1.481332e+01	4.909908e-02
1.549901e+00	1.458954e+01	4.873994e-02
1.554372e+00	1.452418e+01	4.860856e-02
1.558843e+00	1.436526e+01	4.833372e-02
1.563314e+00	1.416071e+01	4.805098e-02
1.567786e+00	1.396110e+01	4.777088e-02
1.572257e+00	1.385334e+01	4.761373e-02
1.576728e+00	1.362235e+01	4.718127e-02
1.581199e+00	1.348168e+01	4.694007e-02
1.585671e+00	1.347141e+01	4.701969e-02
1.590142e+00	1.333943e+01	4.684600e-02
1.594613e+00	1.311734e+01	4.640389e-02
1.599084e+00	1.309417e+01	4.637033e-02
1.603556e+00	1.301392e+01	4.626481e-02
1.608027e+00	1.288346e+01	4.609653e-02
1.612498e+00	1.289980e+01	4.616286e-02
1.616969e+00	1.278211e+01	4.592649e-02
1.621441e+00	1.258930e+01	4.551175e-02
1.625912e+00	1.243996e+01	4.521204e-02
1.630383e+00	1.232176e+01	4.502924e-02
1.634854e+00	1.216161e+01	4.470766e-02
1.639326e+00	1.210207e+01	4.454553e-02
1.643797e+00	1.200866e+01	4.435346e-02
1.648268e+00	1.176608e+01	4.390693e-02
1.652739e+00	1.170230e+01	4.380358e-02
1.657211e+00	1.158880e+01	4.354449e-02
1.661682e+00	1.142817e+01	4.316894e-02
1.666153e+00	1.132179e+01	4.295088e-02
1.670624e+00	1.121957e+01	4.275706e-02
1.675096e+00	1.117143e+01	4.265051e-02
1.679567e+00	1.111068e+01	4.248916e-02
1.684038e+00	1.099000e+01	4.222331e-02
1.688509e+00	1.095181e+01	4.216019e-02
1.692981e+00	1.081935e+01	4.187329e-02
1.697452e+00	1.066850e+01	4.153583e-02
1.701923e+00	1.058970e+01	4.138367e-02
1.706395e+00	1.051058e+01	4.122335e-02
1.710866e+00	1.037462e+01	4.090891e-02
1.715337e+00	1.032594e+01	4.080833e-02
1.719808e+00	1.025035e+01	4.063555e-02
1.724280e+00	1.014965e+01	4.039400e-02
1.728751e+00	9.987742e+00	3.999665e-02
1.733222e+00	9.881761e+00	3.974081e-02
1.737693e+00	9.738362e+00	3.939128e-02
1.742165e+00	9.719211e+00	3.933207e-02
1.746636e+00	9.586778e+00	3.902673e-02
1.751107e+00	9.522163e+00	3.890118e-02
1.755578e+00	9.382759e+00	3.856449e-02
1.760050e+00	9.291911e+00	3.835709e-02
1.764521e+00	9.177880e+00	3.812867e-02
1.768992e+00	9.047648e+00	3.783387e-02
1.773463e+00	9.068793e+00	3.787828e-02
1.777935e+00	8.890615e+00	3.742168e-02
1.782406e+00	8.893778e+00	3.743817e-02
1.786877e+00	8.790941e+00	3.723576e-02
1.791348e+00	8.748502e+00	3.712975e-02
1.795820e+00	8.604645e+00	3.673995e-02
1.800291e+00	8.535055e+00	3.654801e-02
1.804762e+00	8.496244e+00	3.646400e-02
1.809233e+00	8.392373e+00	3.625416e-02
1.813705e+00	8.310987e+00	3.607443e-02
1.818176e+00	8.228776e+00	3.586457e-02
1.822647e+00	8.139789e+00	3.563073e-02
1.827118e+00	8.113687e+00	3.556074e-02
1.831590e+00	8.060368e+00	3.544623e-02
1.836061e+00	8.016001e+00	3.529821e-02
1.840532e+00	7.891803e+00	3.497026e-02
1.845003e+00	7.780128e+00	3.472042e-02
1.849475e+00	7.697993e+00	3.456791e-02
1.853946e+00	7.728832e+00	3.464029e-02
1.858417e+00	7.674216e+00	3.445781e-02
1.862888e+00	7.572417e+00	3.419775e-02
1.867360e+00	7.490555e+00	3.400545e-02
1.871831e+00	7.414305e+00	3.386240e-02
1.876302e+00	7.342528e+00	3.366941e-02
1.880773e+00	7.291889e+00	3.349999e-02
1.885245e+00	7.285535e+00	3.344169e-02
1.889716e+00	7.229250e+00	3.329805e-02
1.894187e+00	7.180151e+00	3.319835e-02
1.898658e+00	7.084807e+00	3.294406e-02
1.903130e+00	7.038352e+00	3.278272e-02
1.907601e+00	6.983844e+00	3.264084e-02
1.912072e+00	6.912038e+00	3.251049e-02
1.916543e+00	6.876454e+00	3.240590e-02
1.921015e+00	6.839884e+00	3.227081e-02
1.925486e+00	6.774178e+00	3.207978e-02
1.929957e+00	6.708246e+00	3.190584e-02
1.934428e+00	6.678922e+00	3.183400e-02
