# PyFAI 1D azimuthal integration
# Input file: E:/duizhao/ZSZ-Bkg-0.3s-003/ZSZ-Bkg-0.3s-003_saxs/series_1455_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Sat Apr 25 12:18:53 2026
# Radial	Intensity	Sigma
9.194538e-01	1.042112e+01	4.124449e-02
9.239250e-01	1.035714e+01	4.068941e-02
9.283963e-01	1.032391e+01	4.013180e-02
9.328675e-01	1.035970e+01	3.991218e-02
9.373388e-01	1.038010e+01	3.973430e-02
9.418100e-01	1.033176e+01	3.947032e-02
9.462813e-01	1.018504e+01	3.918388e-02
9.507526e-01	1.030114e+01	3.973829e-02
9.552238e-01	1.032591e+01	3.991011e-02
9.596951e-01	1.031376e+01	3.997246e-02
9.641663e-01	1.034405e+01	4.006632e-02
9.686376e-01	1.031543e+01	3.997274e-02
9.731088e-01	1.033458e+01	3.994576e-02
9.775801e-01	1.033039e+01	3.986316e-02
9.820513e-01	1.035542e+01	3.984492e-02
9.865226e-01	1.030304e+01	3.965974e-02
9.909938e-01	1.027904e+01	3.961091e-02
9.954651e-01	1.022684e+01	3.948656e-02
9.999363e-01	1.030627e+01	3.965598e-02
1.004408e+00	1.022771e+01	3.948866e-02
1.008879e+00	1.018684e+01	3.939869e-02
1.013350e+00	1.021473e+01	3.940846e-02
1.017821e+00	1.020521e+01	3.934214e-02
1.022293e+00	1.026897e+01	3.950038e-02
1.026764e+00	1.021774e+01	3.937053e-02
1.031235e+00	1.019159e+01	3.928253e-02
1.035706e+00	1.018240e+01	3.922084e-02
1.040178e+00	1.023240e+01	3.926505e-02
1.044649e+00	1.024301e+01	3.925621e-02
1.049120e+00	1.015898e+01	3.906322e-02
1.053591e+00	1.011265e+01	3.897225e-02
1.058063e+00	1.008342e+01	3.886906e-02
1.062534e+00	1.003153e+01	3.873121e-02
1.067005e+00	9.996190e+00	3.864409e-02
1.071476e+00	1.001779e+01	3.866583e-02
1.075948e+00	1.000319e+01	3.860015e-02
1.080419e+00	9.966423e+00	3.846399e-02
1.084890e+00	9.993674e+00	3.849049e-02
1.089361e+00	9.942364e+00	3.835072e-02
1.093833e+00	9.986484e+00	3.844723e-02
1.098304e+00	9.978059e+00	3.837584e-02
1.102775e+00	9.901814e+00	3.814841e-02
1.107246e+00	9.867842e+00	3.806365e-02
1.111718e+00	9.830356e+00	3.795703e-02
1.116189e+00	9.918926e+00	3.813080e-02
1.120660e+00	9.805200e+00	3.783517e-02
1.125131e+00	9.821400e+00	3.781078e-02
1.129603e+00	9.734276e+00	3.760802e-02
1.134074e+00	9.734345e+00	3.811169e-02
1.138545e+00	9.695965e+00	3.839258e-02
1.143016e+00	9.719123e+00	3.864737e-02
1.147488e+00	9.736735e+00	3.883310e-02
1.151959e+00	9.624911e+00	3.865021e-02
1.156430e+00	9.634889e+00	3.849655e-02
1.160901e+00	9.649744e+00	3.805439e-02
1.165373e+00	9.662330e+00	3.781364e-02
1.169844e+00	9.619303e+00	3.758983e-02
1.174315e+00	9.631001e+00	3.764612e-02
1.178787e+00	9.566281e+00	3.751208e-02
